GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",5344,356,4883,414,4041,402,348,141,20,31,222,91,0,17,0,17,252,133,0,17,252,133,461,190,461,190,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",5680,432,5458,474,4035,517,346,327,0,17,743,303,22,36,0,17,312,133,0,17,312,133,222,153,181,138,0,17,0,17,41,64,0,17,0,17,0,17,0,17,0,17
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",7975,525,7720,551,6299,560,185,151,18,20,660,171,0,17,60,54,498,144,40,63,458,148,255,116,113,69,0,17,0,17,15,24,0,17,67,60,60,46,24,23,36,35
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",5785,484,5573,498,4624,456,32,38,172,235,296,118,1,13,15,23,433,173,16,27,417,171,212,99,112,65,0,17,0,17,40,57,0,17,35,42,25,33,4,8,21,32
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",5316,271,5213,277,4297,396,39,43,12,19,570,257,48,80,0,17,247,126,0,17,247,126,103,83,88,85,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",4416,226,4173,235,3622,239,54,39,0,12,288,92,0,12,24,29,185,85,0,12,185,85,243,129,190,113,0,12,0,12,0,12,0,12,47,60,6,12,6,12,0,12
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",5510,349,5440,360,4811,435,97,102,0,17,205,140,0,17,19,29,308,168,0,17,308,168,70,81,70,81,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",3575,200,3419,227,3006,273,38,27,8,15,178,84,0,12,9,15,180,113,10,16,170,113,156,94,119,89,0,12,0,12,0,12,17,26,14,18,6,13,0,12,6,13
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",4807,408,4588,399,3913,383,19,27,9,15,289,103,14,22,48,77,296,151,0,12,296,151,219,106,189,106,0,12,0,12,0,12,0,12,15,23,15,24,0,12,15,24
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",4092,327,3852,386,3029,339,79,78,3,6,506,230,0,12,0,12,235,144,0,12,235,144,240,147,96,69,0,12,0,12,0,12,0,12,8,10,136,131,0,12,136,131
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",8688,665,8437,686,5965,625,76,94,0,17,1957,660,0,17,0,17,439,266,0,17,439,266,251,153,120,81,0,17,19,34,0,17,0,17,0,17,112,130,40,63,72,116
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",3308,226,3200,223,2803,223,0,12,0,12,257,134,0,12,0,12,140,88,0,12,140,88,108,54,38,31,0,12,0,12,8,13,0,12,54,38,8,12,8,12,0,12
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",4964,312,4850,319,4319,318,39,44,6,12,266,121,0,12,0,12,220,100,0,12,220,100,114,99,114,99,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",7329,490,7102,480,5931,420,81,82,55,79,706,235,60,65,0,17,269,152,0,17,269,152,227,163,117,98,0,17,0,17,0,17,0,17,0,17,110,143,110,143,0,17
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",4521,376,3977,405,2934,369,143,84,2,4,686,229,8,18,0,12,204,108,0,12,204,108,544,287,256,112,5,12,2,5,0,12,0,12,258,248,23,30,20,27,3,8
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",8862,734,8220,770,5033,523,445,231,109,113,1811,530,0,17,63,102,759,557,46,66,713,550,642,272,508,257,37,50,0,17,6,12,0,17,5,11,86,70,17,26,69,63
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",6613,506,5911,488,3749,482,611,240,8,13,1083,286,62,76,0,17,398,151,0,17,398,151,702,232,466,214,0,17,0,17,16,24,0,17,190,131,30,35,15,25,15,25
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",5192,359,4833,371,3627,277,95,65,0,17,742,217,0,17,0,17,369,177,0,17,369,177,359,140,342,136,0,17,0,17,0,17,0,17,17,28,0,17,0,17,0,17
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",5362,367,5135,358,3671,400,361,154,0,17,577,149,19,28,25,36,482,164,0,17,482,164,227,132,121,67,0,17,0,17,15,26,0,17,58,92,33,45,33,45,0,17
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",8753,637,8218,683,6353,603,359,215,76,88,636,244,0,17,0,17,794,394,0,17,794,394,535,215,242,127,0,17,0,17,0,17,0,17,241,160,52,61,0,17,52,61
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",4257,379,3915,387,3179,350,172,189,1,2,377,207,0,12,0,12,186,98,0,12,186,98,342,199,318,207,0,12,0,12,10,16,0,12,14,22,0,12,0,12,0,12
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",5308,467,5112,470,3689,419,602,292,44,48,390,136,0,17,0,17,387,216,0,17,387,216,196,94,147,82,0,17,0,17,0,17,0,17,49,48,0,17,0,17,0,17
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",5875,390,5602,400,4301,403,281,183,22,37,271,130,0,17,0,17,727,326,25,39,702,327,273,226,105,93,0,17,0,17,0,17,0,17,168,214,0,17,0,17,0,17
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",6339,584,6012,621,4628,592,685,236,64,59,445,175,8,15,20,32,162,94,0,17,162,94,327,139,172,98,39,44,0,17,0,17,0,17,43,44,73,64,26,36,47,47
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",6538,551,6201,531,3791,509,510,239,20,45,1620,444,0,17,53,88,207,123,0,17,207,123,337,173,200,137,27,44,0,17,0,17,0,17,76,74,34,56,34,56,0,17
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",3744,357,3482,380,2443,349,205,121,33,34,576,249,0,12,18,29,207,135,0,12,207,135,262,115,176,97,35,56,20,33,0,12,0,12,15,21,16,23,16,23,0,12
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",4872,428,4566,432,3030,397,423,146,133,104,610,225,13,15,102,165,255,98,0,12,255,98,306,133,114,92,0,12,0,12,19,27,0,12,146,89,27,34,0,12,27,34
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",4212,386,3933,388,2789,396,314,185,0,12,692,248,0,12,0,12,138,80,0,12,138,80,279,281,265,280,14,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",3087,223,2857,220,2193,240,143,72,34,36,397,111,6,11,19,30,65,35,0,12,65,35,230,81,155,67,0,12,19,20,0,12,0,12,52,45,4,10,0,12,4,10
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",4530,301,4373,292,3098,290,228,198,6,12,862,217,46,74,15,24,118,82,0,12,118,82,157,108,57,68,0,12,0,12,0,12,0,12,69,70,31,50,16,25,15,25
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",4296,304,3945,295,2194,274,686,170,33,37,726,185,25,30,11,15,270,86,0,12,270,86,351,136,160,88,0,12,0,12,0,12,0,12,126,72,65,52,22,21,43,42
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",5300,485,4732,454,2995,439,376,155,15,17,1095,252,18,36,0,17,233,103,4,22,229,100,568,236,120,89,0,17,0,17,23,37,15,23,299,235,111,71,45,39,66,61
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",4727,385,4191,374,2530,283,895,281,23,31,399,96,0,12,12,22,332,105,0,12,332,105,536,313,179,151,0,12,0,12,0,12,0,12,225,278,132,122,16,19,116,121
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",4236,373,3862,390,2452,250,519,209,8,13,347,180,138,189,85,131,313,135,0,12,313,135,374,230,177,120,0,12,12,18,0,12,0,12,177,204,8,13,0,12,8,13
