GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0500000US53033,53033,"King County, Washington",0700000US530339293157745,530339293157745,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Renton city (part),Renton city (part),80781,34843,17.86,0.35,17.51,4613.7,1990.0
0500000US53033,53033,"King County, Washington",0700000US530339293161115,530339293161115,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Sammamish city (part),Sammamish city (part),16919,5880,5.26,0.00,5.26,3216.5,1117.9
0500000US53033,53033,"King County, Washington",0700000US530339293173307,530339293173307,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Union Hill-Novelty Hill CDP,Union Hill-Novelty Hill CDP,18805,7533,24.32,0.09,24.23,776.2,310.9
0500000US53033,53033,"King County, Washington",0700000US530339293179590,530339293179590,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Woodinville city,Woodinville city,10938,4996,5.62,0.02,5.60,1952.3,891.7
0500000US53033,53033,"King County, Washington",0700000US530339293180150,530339293180150,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Yarrow Point town,Yarrow Point town,1001,407,0.36,0.00,0.36,2753.5,1119.6
0500000US53033,53033,"King County, Washington",0700000US530339293199999,530339293199999,King County - COUNTY SUBDIVISION AND PLACE - Seattle East CCD - Remainder of Seattle East CCD,Remainder of Seattle East CCD,7792,3040,30.45,6.90,23.55,330.8,129.1
0500000US53033,53033,"King County, Washington",0600000US5303393078,5303393078,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD,Snoqualmie Valley CCD,48362,19188,912.37,18.45,893.91,54.1,21.5
0500000US53033,53033,"King County, Washington",0700000US530339307804300,530339307804300,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Baring CDP,Baring CDP,220,254,1.13,0.09,1.04,211.4,244.1
0500000US53033,53033,"King County, Washington",0700000US530339307810215,530339307810215,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Carnation city,Carnation city,1786,665,1.18,0.02,1.16,1545.4,575.4
0500000US53033,53033,"King County, Washington",0700000US530339307819035,530339307819035,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Duvall city,Duvall city,6695,2315,2.49,0.02,2.47,2713.8,938.4
0500000US53033,53033,"King County, Washington",0700000US530339307823200,530339307823200,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Fall City CDP,Fall City CDP,1993,812,2.88,0.04,2.83,703.7,286.7
0500000US53033,53033,"King County, Washington",0700000US530339307837538,530339307837538,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Lake Marcel-Stillwater CDP,Lake Marcel-Stillwater CDP,1277,488,1.33,0.06,1.28,1001.4,382.7
0500000US53033,53033,"King County, Washington",0700000US530339307849485,530339307849485,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - North Bend city,North Bend city,5731,2348,4.30,0.04,4.27,1343.2,550.3
0500000US53033,53033,"King County, Washington",0700000US530339307858742,530339307858742,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Riverbend CDP,Riverbend CDP,2132,843,3.01,0.07,2.94,725.1,286.7
0500000US53033,53033,"King County, Washington",0700000US530339307864855,530339307864855,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Skykomish town,Skykomish town,198,168,0.33,0.02,0.31,636.0,539.6
0500000US53033,53033,"King County, Washington",0700000US530339307865205,530339307865205,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Snoqualmie city,Snoqualmie city,10670,3761,6.52,0.11,6.40,1666.1,587.3
0500000US53033,53033,"King County, Washington",0700000US530339307870315,530339307870315,King County - COUNTY SUBDIVISION AND PLACE - Snoqualmie Valley CCD - Tanner CDP,Tanner CDP,1018,364,4.04,0.18,3.85,264.2,94.5
