GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049,D050,D051,D052,D053,D054,D055,D056,D057,D058,D059,D060,D061,D062,D063,D064,D065,D066,D067,D068,D069,D070,D071
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",3807,3645,3034,89,48,400,2,72,162,144,22,24,82,3,4,1,3,0,2,0,0,0,1,2,0,18,9,2,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",5286,5075,4382,72,11,549,5,56,211,200,32,27,114,2,10,1,0,0,0,4,0,0,7,3,0,11,3,2,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",2972,2821,2485,31,8,273,6,18,151,137,13,20,85,5,8,1,1,0,0,3,0,0,0,1,0,14,2,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",2802,2663,2322,58,9,235,2,37,139,127,15,7,77,5,9,2,3,0,0,0,0,3,0,6,0,11,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",4660,4436,3928,71,14,366,5,52,224,209,24,28,135,1,7,2,1,0,2,0,0,0,7,2,0,15,7,2,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",5289,5039,4510,69,19,386,5,50,250,229,29,32,135,5,8,0,5,0,0,2,0,6,5,2,0,19,5,6,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",4481,4244,3839,58,26,246,11,64,237,211,24,35,125,6,11,2,2,0,2,1,0,0,3,0,0,18,2,3,0,0,3,1,0,7,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",4177,4017,3701,27,18,176,6,89,160,146,16,30,77,3,12,1,3,0,0,2,0,0,2,0,0,14,0,7,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",5637,5407,4968,76,26,228,9,100,230,212,22,34,111,5,28,1,4,0,2,3,1,1,0,0,0,18,3,2,2,0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",6219,5967,5586,58,29,239,6,49,252,224,33,41,106,1,24,0,3,0,0,1,2,3,8,2,0,26,7,0,0,0,4,4,1,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
